,timesteps,rewards,duration
0,4096,0.01121565089026963,0:01:18.872175
1,8192,0.010646865172124098,0:02:33.850209
2,12288,0.018877252757142998,0:04:03.041657
3,16384,0.02979498516988044,0:05:36.103430
4,20480,0.03526645611375123,0:06:54.296381
5,24576,0.039622063083340375,0:08:06.893789
6,28672,0.04976879625416148,0:09:19.609049
7,32768,0.054142588363469024,0:10:30.420709
8,36864,0.06146335666200731,0:11:42.777041
9,40960,0.0731326649775692,0:12:55.291094
10,45056,0.09255270623592216,0:14:08.521894
11,49152,0.10422506358663597,0:15:20.936880
12,53248,0.12762030851967698,0:16:35.279348
13,57344,0.14834170736613395,0:17:53.309614
14,61440,0.18082373188019574,0:19:09.693831
15,65536,0.23859838799003796,0:20:25.977152
16,69632,0.28603241514213096,0:21:43.668277
17,73728,0.31919920361302445,0:23:02.588409
18,77824,0.33952135442760323,0:24:25.844707
19,81920,0.3985028806135915,0:25:45.798351
20,86016,0.4145031423742296,0:27:05.038658
21,90112,0.41305191964960386,0:28:22.735090
22,94208,0.3411425205929959,0:29:42.782871
23,98304,0.45075407373713006,0:31:11.844715
24,102400,0.44198796715720334,0:32:36.303228
