,timesteps,rewards,duration
0,4096,0.009534650355764118,0:00:54.231288
1,8192,0.0151308093419927,0:01:56.732547
2,12288,0.018931291501572467,0:02:54.346771
3,16384,0.026623036030570257,0:03:53.066902
4,20480,0.034714393520196785,0:04:51.937796
5,24576,0.04270242003168434,0:05:47.294775
6,28672,0.04620514731476599,0:06:42.151773
7,32768,0.04788905474621252,0:07:36.402898
8,36864,0.06901889134916717,0:08:31.573830
9,40960,0.07566369314137056,0:09:23.357708
10,45056,0.0836301759909297,0:10:18.843562
11,49152,0.11625374773178265,0:11:16.162100
12,53248,0.1300937441635055,0:12:13.910610
13,57344,0.15885846986435226,0:13:12.385621
14,61440,0.15902200364491392,0:14:10.360282
15,65536,0.19478703580362833,0:15:09.382154
16,69632,0.24598935572066694,0:16:11.059581
17,73728,0.26499821005296553,0:17:12.534007
18,77824,0.29710703958300666,0:18:14.578388
19,81920,0.34294919393983037,0:19:16.722355
20,86016,0.286286789780803,0:20:15.559244
21,90112,0.37952870626082813,0:21:17.750816
22,94208,0.30849300566546844,0:22:16.943040
23,98304,0.4327355137210134,0:23:20.354984
24,102400,0.44917086820356644,0:24:23.631762
25,106496,0.5268594231545194,0:25:28.140808
26,110592,0.5165048578968481,0:26:31.679797
27,114688,0.48719681694666406,0:27:34.484952
28,118784,0.5276710311929094,0:28:38.280388
29,122880,0.5165928384768748,0:29:42.350013
30,126976,0.5238155262292139,0:30:45.556056
31,131072,0.4981027340301267,0:31:47.447912
32,135168,0.5263341791407754,0:32:50.856180
33,139264,0.5536092864183928,0:33:55.771600
34,143360,0.5438093206577435,0:34:59.592433
35,147456,0.5316147818800658,0:36:02.957903
36,151552,0.5317511611642658,0:37:06.169538
37,155648,0.5168043209702091,0:38:09.322818
38,159744,0.516441746189571,0:39:13.015087
39,163840,0.533289292834283,0:40:17.267205
40,167936,0.5351495680470322,0:41:21.281349
41,172032,0.5385788402532796,0:42:26.439342
42,176128,0.5335898037925517,0:43:30.824738
43,180224,0.5111471652520976,0:44:35.209708
44,184320,0.5256318351882214,0:45:40.277073
45,188416,0.5280310325539972,0:46:46.973358
46,192512,0.5110096291510047,0:47:52.989640
47,196608,0.5094038882702989,0:48:57.231225
48,200704,0.5011625671572517,0:50:01.700654
