,timesteps,rewards,duration
0,4096,0.0052623099335187135,0:01:04.427268
1,8192,0.011708368958853965,0:02:54.099260
2,12288,0.014640793962754112,0:04:34.302017
3,16384,0.02378840852785563,0:06:19.113798
4,20480,0.030030508653010712,0:08:01.757943
5,24576,0.04123151095557276,0:09:39.233483
6,28672,0.04333975709406657,0:11:16.027846
7,32768,0.05154723128308003,0:12:47.132031
8,36864,0.084136491942437,0:14:28.139458
9,40960,0.07973636870162881,0:16:01.750997
10,45056,0.10174684863596539,0:17:43.777263
11,49152,0.12322252338706585,0:19:26.658363
12,53248,0.14689007555772804,0:21:09.834819
13,57344,0.16416523773662206,0:22:54.073128
14,61440,0.2009625470939369,0:24:37.211507
15,65536,0.2005689694162598,0:26:22.352195
16,69632,0.23806831152144525,0:28:13.757592
17,73728,0.2840685507042622,0:30:04.882929
18,77824,0.311060668653397,0:31:55.000711
19,81920,0.31037274553695227,0:33:44.610408
20,86016,0.3232520374897945,0:35:35.497998
21,90112,0.3593094995367778,0:37:23.957066
22,94208,0.3814800994796599,0:39:11.478770
23,98304,0.33781417392714275,0:40:59.862242
24,102400,0.3535659407168623,0:42:50.165524
25,106496,0.3428276519212261,0:44:44.498865
26,110592,0.3784515224770928,0:46:32.304854
27,114688,0.3683233841277911,0:48:19.573701
28,118784,0.3851299249185445,0:50:10.471367
29,122880,0.26204225888294275,0:51:49.114486
30,126976,0.33842068453719776,0:53:33.224874
31,131072,0.37948332683529884,0:55:20.326051
32,135168,0.41548827924789,0:57:09.416333
33,139264,0.4105660922965626,0:58:58.115158
34,143360,0.3757494082871773,1:00:49.684273
35,147456,0.3290357149734291,1:02:43.808366
36,151552,0.30447837146945744,1:04:38.225000
37,155648,0.2540237303342394,1:06:35.985727
38,159744,0.19390245611132073,1:08:35.666637
39,163840,0.21707589697608265,1:10:33.999236
40,167936,0.15404844547416818,1:12:33.949932
41,172032,0.17549763317889955,1:14:33.527675
42,176128,0.17407818646819206,1:16:32.964232
43,180224,0.17313327093352093,1:18:31.750804
44,184320,0.11625222012563236,1:20:33.232907
45,188416,0.14444658354106177,1:22:31.400544
46,192512,0.1845506050496138,1:24:28.384444
47,196608,0.20374319178810962,1:26:28.344645
48,200704,0.22285978391202477,1:28:25.982882
