,timesteps,rewards,duration
0,4096,0.012161029306011317,0:01:42.611022
1,8192,0.013502176145371109,0:03:21.697109
2,12288,0.019475530451298573,0:05:15.833092
3,16384,0.03131144877976888,0:07:04.245920
4,20480,0.039621547772741295,0:08:45.976227
5,24576,0.06223435080130457,0:10:31.586421
6,28672,0.05828153678891157,0:12:07.863208
7,32768,0.06719848222266256,0:13:40.998256
8,36864,0.07435087345696978,0:15:12.906735
9,40960,0.08415886915294202,0:16:47.391562
10,45056,0.09944083580185037,0:18:20.570314
11,49152,0.12882124975031672,0:20:00.509836
12,53248,0.16136085671485567,0:21:47.014948
13,57344,0.0312566055308281,0:23:06.263992
14,61440,0.07654511904918238,0:24:29.487812
15,65536,0.15738145823667082,0:26:13.533519
16,69632,0.16720735567592726,0:28:04.636442
17,73728,0.1659812422289182,0:29:56.921557
18,77824,0.19128533306896855,0:31:44.112236
19,81920,0.24563268799691684,0:33:34.278054
20,86016,0.2711964111727525,0:35:26.094938
21,90112,0.3162266653557424,0:37:17.520964
22,94208,0.3270549579583246,0:39:07.850434
23,98304,0.33478462871016745,0:40:57.833804
24,102400,0.3226397322780983,0:42:46.877294
25,106496,0.344192580528329,0:44:38.061375
26,110592,0.34335945684617286,0:46:30.162408
27,114688,0.36322112878113444,0:48:22.447773
28,118784,0.34888645690486975,0:50:15.516615
29,122880,0.33146812514218027,0:52:08.591620
30,126976,0.28331579021192965,0:54:04.215882
31,131072,0.30671766693718894,0:55:57.723017
32,135168,0.21868343799818213,0:57:56.515811
33,139264,0.22734939043649405,0:59:53.771862
34,143360,0.18557991573375432,1:01:53.519826
35,147456,0.1410754154034452,1:03:55.483777
36,151552,0.13011203263153384,1:06:01.665127
37,155648,0.1353036634880508,1:08:04.076281
38,159744,0.1182510732653302,1:10:07.849424
39,163840,0.12362152953390382,1:12:12.192873
40,167936,0.14652797959360098,1:14:12.118838
41,172032,0.13831601733241045,1:16:14.175050
42,176128,0.13494415524298442,1:18:16.664601
43,180224,0.09574908408924905,1:20:19.823311
44,184320,0.04579044490036521,1:22:26.274228
45,188416,0.09066002213875322,1:24:29.850400
46,192512,0.07753130447839127,1:26:31.379796
47,196608,0.1181504966606092,1:28:32.286970
48,200704,0.038343993543644206,1:30:39.039974
49,204800,0.02180638312225664,1:32:45.231374
50,208896,0.2821420846131204,1:34:42.954359
51,212992,0.17394379322488385,1:36:44.096417
52,217088,0.18528572474406535,1:38:44.584955
53,221184,0.0016482902106792,1:40:51.911524
54,225280,0.0005164267942256023,1:43:00.697266
55,229376,0.00047882425911449644,1:45:09.386383
56,233472,0.1070177991930499,1:47:10.434237
57,237568,0.034211744372618605,1:49:16.472642
58,241664,0.0037521238286633007,1:51:22.882139
59,245760,0.00048397568965394266,1:53:36.957848
60,249856,0.0005865824743191278,1:55:44.723073
61,253952,0.032546867510112765,1:57:44.250154
62,258048,0.21280135592782834,1:59:22.550609
63,262144,0.04254424488961811,2:01:27.476203
64,266240,0.20228665316777694,2:03:22.159734
65,270336,0.07998701737073727,2:05:25.850042
66,274432,0.11504192474560848,2:07:27.716260
67,278528,0.002319380389478244,2:09:34.949327
68,282624,0.03704882195827992,2:11:40.648276
69,286720,0.0006151558871147177,2:13:47.698753
70,290816,0.15194198551210564,2:15:43.724955
71,294912,0.0006086229029294843,2:17:50.365434
72,299008,0.0003095296740771025,2:19:57.603518
73,303104,0.08264831260809952,2:22:00.790066
