,timesteps,rewards,duration
0,4096,0.01048273844685721,0:00:09.712871
1,8192,0.01190594591099206,0:00:21.370918
2,12288,0.018334143073225208,0:00:32.897693
3,16384,0.024343023236417294,0:00:45.612178
4,20480,0.03328340452232259,0:00:57.575976
5,24576,0.047257403629772016,0:01:10.368549
6,28672,0.06793894892799224,0:01:22.265114
7,32768,0.07367949433872178,0:01:34.057675
8,36864,0.09581996819718142,0:01:46.201552
9,40960,0.09079426803062418,0:01:59.929718
10,45056,0.10925385274775579,0:02:14.103711
11,49152,0.1302201172707136,0:02:27.238443
12,53248,0.13825284288814998,0:02:39.739709
13,57344,0.1758994539886558,0:02:52.405663
14,61440,0.18164436561267294,0:03:05.057634
15,65536,0.1875639913967575,0:03:17.994801
16,69632,0.2557174017954935,0:03:30.626572
17,73728,0.28661894074096494,0:03:43.342678
18,77824,0.36921439031331715,0:03:55.602984
19,81920,0.3877848329174327,0:04:07.648181
20,86016,0.4622496624551786,0:04:19.845292
21,90112,0.414335124634718,0:04:32.221034
22,94208,0.49443930153722704,0:04:45.166529
23,98304,0.5584080587659486,0:04:57.576724
24,102400,0.5078331313505089,0:05:10.065773
