,timesteps,rewards,duration
0,4096,0.012328772995893966,0:00:12.623135
1,8192,0.01681975922852519,0:00:28.344266
2,12288,0.024173738897682165,0:00:43.205975
3,16384,0.030585134199180075,0:00:57.625452
4,20480,0.040287750645127574,0:01:11.845146
5,24576,0.04644233318107105,0:01:26.380852
6,28672,0.06267974791526854,0:01:40.734118
7,32768,0.06947975517990812,0:01:55.498350
8,36864,0.09775325010312486,0:02:10.217120
9,40960,0.1002571307862965,0:02:24.683976
10,45056,0.11695257047342267,0:02:39.340460
11,49152,0.14572190612312141,0:02:53.868373
12,53248,0.1641051174367636,0:03:08.672083
13,57344,0.20625090461679463,0:03:24.503833
14,61440,0.25645773498003166,0:03:39.494116
15,65536,0.27207166317258213,0:03:55.453018
16,69632,0.3294385788614136,0:04:10.240178
17,73728,0.3243885268945519,0:04:25.342594
18,77824,0.3819130390649974,0:04:40.420355
19,81920,0.4245779954923137,0:04:55.327407
20,86016,0.4254097773360854,0:05:12.564660
21,90112,0.3553238576337918,0:05:27.994787
22,94208,0.5154783786621806,0:05:43.139226
23,98304,0.5976674645300477,0:05:58.200202
24,102400,0.5613011799579226,0:06:13.101638
